Input_Size,Time
100000,0.2154833
200000,0.4712632
300000,0.7073721
400000,0.9335425
500000,1.1716921
600000,1.5028217000000001
700000,1.7630764
800000,2.0241949
900000,2.2608506
1000000,2.2007406
1100000,2.4681849
1200000,2.7093226
1300000,2.9554994
1400000,3.1969703
1500000,3.3983461
1600000,3.6431437
1700000,3.8973962
1800000,4.0986106
1900000,4.6464906
2000000,4.9615729
2100000,5.2050076
2200000,5.54187
2300000,5.842232
2400000,6.2736533
2500000,6.0986527
2600000,8.1680356
2700000,7.9498397
2800000,7.2600885
2900000,7.7056249999999995
3000000,7.4526048
3100000,7.5274567
3200000,8.6288413
3300000,8.5265374
3400000,9.7200856
3500000,10.304943
3600000,8.9269259
3700000,12.4355795
3800000,10.6102656
3900000,9.8054561
4000000,10.1752102
4100000,10.7023046
4200000,10.2520112
4300000,11.0764551
4400000,11.9059854
4500000,11.666704
4600000,14.0912867
4700000,13.3969469
4800000,13.3056322
4900000,13.6316451
5000000,13.4905846
